sample,SA,NMV,N,T,CO2ad
GO,6,0.08,0.67,273,0.51
T-G,190,0.1,0.71,273,0.65
GU,12,0.04,6.52,273,0.14
T-GU,63,0.09,12.94,273,0.54
T-GU-700-4,731,0.35,4.42,273,1.8
T-GU-700-6,1032,0.59,2.59,273,3.24
T-GU-700-8,1264,0.36,2.03,273,1.93
T-GU-750-6,1089,0.37,1.94,273,2.15
T-G-700-6,1296,0.43,0.86,273,2.52
GU-700-6,360,0.18,1.32,273,1.43
PC-550-1,855,0.36,13.05,273,4.19
PC-550-2,1338,0.51,11.32,273,5.03
PC-550-3,1655,0.64,9.84,273,5.61
PC-600-1,1980,0.73,7.38,273,6.01
PC-600-2,2362,0.91,6.21,273,6.37
PC-600-3,2430,0.83,5.36,273,5.23
PC-650-1,2406,0.91,3.89,273,5.76
PC-650-2,2672,0.9,3.04,273,5.1
PC-650-3,2644,0.93,2.65,273,5.47
PC-700-1,2112,0.83,2.83,273,5.72
PC-700-2,2747,0.83,2.36,273,4.94
PC-700-3,2436,0.82,1.84,273,4.52
R,536,0.32,1.05,273,3.71
RN,2,0.26,3.96,273,2.79
RNK-550-1,1097,0.57,1.77,273,6.7
RNK-550-2,1482,0.7,1.41,273,6.73
RNK-550-3,2023,0.93,1.32,273,7.39
RNK-600-1,1310,0.65,1.54,273,6.8
RNK-600-2,1802,0.88,1.36,273,7.22
RNK-600-3,2200,1.02,1.29,273,7.47
RNK-650-1,1450,0.71,1.37,273,6.68
RNK-650-2,1875,0.92,1.29,273,6.8
RNK-650-3,2374,1.05,1.2,273,6.92
RUK-550-2,1099,0.52,2.74,273,5.71
CS-650-1/2,1023,0.52,6.75,273,5.55
CS-650-2/3,904,0.44,6.28,273,5.03
CS-650-1/1,1028,0.5,5.98,273,5.17
CS-700-1/2,1428,0.69,4.32,273,6.22
CS-700-2/3,1506,0.75,3.49,273,6.91
CS-700-1/1,1548,0.66,3.07,273,6.37
CS-750-1/2,1811,0.85,2.26,273,6.64
CS-750-2/3,1771,0.88,2.01,273,6.9
CS-750-1/1,1854,0.85,1.72,273,6.14
WSC-400-1,669,0.33,3.05,273,4.06
WSC-400-2,1450,0.59,3.26,273,5.34
WSC-400-3,1310,0.5,3.58,273,4.57
WSC-450-1,1036,0.48,2.73,273,5.44
WSC-450-2,2412,0.84,3.14,273,6.04
WSC-450-3,2596,0.83,3.35,273,5.46
WSC-500-1,1416,0.62,2.42,273,6.04
WSC-500-2,2615,0.88,2.68,273,5.39
WSC-500-3,2446,0.81,3.12,273,4.91
MNSC,32,0.17,0.89,273,2.16
MNSM,6,0.12,10.77,273,1.4
MNSM-650-1,959,0.45,5.71,273,5.25
MNSM-650-2,1073,0.48,4.56,273,5.52
MNSM-650-3,1177,0.54,3.13,273,6
MNSM-700-1,1230,0.56,3.57,273,5.95
MNSM-700-2,1604,0.72,2.62,273,6.61
MNSM-700-3,1517,0.69,2.34,273,6.45
MNSM-750-1,1609,0.71,3.01,273,6.32
MNSM-750-2,1731,0.77,2.01,273,6.43
MNSM-750-3,1730,0.76,1.6,273,6.27
MFC-600-0.1,278,0.22,16.07,273,2.55
MFC-600-0.2,895,0.4,14.51,273,3.76
MFC-650-0.1,435,0.23,15.23,273,2.72
MFC-650-0.2,1070,0.58,13.97,273,4.28
MFC-700-0.1,768,0.39,14.72,273,4.25
MFC-700-0.2,1658,0.62,13.38,273,4.95
MFC-750-0.1,554,0.36,11.64,273,3.26
MFC-750-0.2,1373,0.51,9.67,273,3.79
MFRC-550-1,546,0.36,18.34,273,3.58
MFRC-550-2,746,0.46,13.03,273,3.87
MFRC-550-3,617,0.37,10.34,273,3.71
MFRC-600-1,596,0.36,14.02,273,4.02
MFRC-600-2,694,0.37,10.07,273,3.55
MFRC-600-3,743,0.35,8.16,273,3.56
MFRC-650-1,1591,0.74,10.14,273,5.42
MFRC-650-2,1525,0.68,7.53,273,4.91
MFRC-650-3,1476,0.6,6.43,273,4.55
C,21,0.17,0.26,273,2
NC-600-2,1023,0.51,1.35,273,5.6
NC-600-3,1383,0.65,1.08,273,6
NC-600-4,1604,0.75,0.81,273,6.7
NC-650-2,1178,0.62,1.23,273,5.9
NC-650-3,1535,0.73,0.91,273,7
NC-650-4,1687,0.79,0.7,273,6.7
NC-700-2,1550,0.7,0.86,273,6.1
NC-700-3,1596,0.82,0.73,273,7
NC-700-4,1937,0.83,0.61,273,6.8
C-650-3,1513,0.55,0.23,273,5
C-650-3-N,1012,0.48,8.01,273,4.8
UFC,0.39,0.12,22.83,273,1.08
UFC-550-2,760,0.34,17.25,273,4.47
UFC-550-3,873,0.48,15.08,273,4.7
UFC-550-4,649,0.36,12.04,273,3.85
UFC-600-2,1254,0.49,11.74,273,4.03
UFC-600-3,1686,0.64,9.87,273,5.42
UFC-600-4,1246,0.57,8.86,273,4.93
UFC-650-2,2244,0.81,8.47,273,5.36
UFC-650-3,2023,0.72,7.51,273,4.5
UFC-650-4,1651,0.7,6.32,273,4.62
LC,4,0.13,1.55,273,1.16
LC-450-1,792,0.42,3.53,273,4.6
LC-450-2,1651,0.64,3.85,273,5.18
LC-450-3,1557,0.47,4.27,273,3.81
LC-500-1,833,0.44,3.24,273,4.87
LC-500-2,1924,0.7,3.64,273,4.92
LC-500-3,1667,0.59,4.04,273,4.44
LC-550-1,1087,0.54,2.55,273,5.04
LC-550-2,1883,0.58,3.04,273,3.58
LC-550-3,1311,0.47,3.65,273,3.68
GC,20,0.12,0.54,273,0.96
NGC,65,0.21,20.66,273,2.4
NGC-600-2,933,0.48,12.27,273,4.8
NGC-600-3,1005,0.48,12.21,273,4.84
NGC-600-4,1170,0.55,11.81,273,5.32
NGC-650-2,1754,0.73,10.51,273,5.45
NGC-650-3,1699,0.79,9.54,273,5.87
NGC-650-4,1824,0.83,7.74,273,6.23
NGC-700-2,2572,1.03,6.57,273,6.23
NGC-700-3,2510,1.06,5.03,273,6.16
NGC-700-4,2827,1.06,4.69,273,6.05
GC-650-4,1020,0.51,0.32,273,5.74
HSC,93,0.16,1.22,273,1.97
HSM,4.4,0.13,16.89,273,1.38
HSM-550-1,1118,0.5,4.94,273,5.36
HSM-550-2,1696,0.78,4.32,273,6.34
HSM-550-3,1354,0.58,3.88,273,5.74
HSM-600-1,1523,0.63,3.68,273,5.66
HSM-600-2,2319,0.94,3.27,273,6.04
HSM-600-3,2195,0.87,2.47,273,5.91
HSM-650-1,1661,0.73,2.53,273,5.84
HSM-650-2,2178,0.83,1.89,273,5.34
HSM-650-3,2054,0.82,1.33,273,5.69
EN-400-1,710,0.99,2.71,273,2.94
EN-400-2,1270,0.12,2.8,273,4.27
EN-400-3,1010,0.12,3.01,273,4.09
EN-450-1,1100,0.14,2.27,273,4.63
EN-450-2,1920,0.14,2.62,273,5.17
EN-450-3,1530,0.12,2.96,273,4.39
EN-500-1,770,0.11,1.52,273,3.72
EN-500-2,2270,0.11,1.78,273,4.66
EN-500-3,1290,0.1,1.94,273,3.76
WSC,22,0.18,1.03,273,2.02
WSM,5,0.15,16.61,273,1.25
WSM-500-1,759,0.35,8.48,273,4.21
WSM-500-2,1275,0.59,7.26,273,5.69
WSM-500-3,1601,0.69,4.36,273,6.04
WSM-550-1,1131,0.49,7.15,273,5.06
WSM-550-2,1535,0.67,4.9,273,5.86
WSM-550-3,2129,0.81,4.01,273,6.06
WSM-600-1,1391,0.64,4.63,273,5.47
WSM-600-2,2194,0.89,3.78,273,5.97
WSM-600-3,2384,0.95,2.76,273,5.81
WSM-650-1,1649,0.76,3.81,273,5.92
WSM-650-2,2164,0.82,3.02,273,5.3
WSM-650-3,2171,0.83,2.63,273,4.93
HSC,93,0.16,1.22,273,1.97
HSC-500-1,502,0.26,2.74,273,3.17
HSC-500-2,1991,0.82,2.94,273,6.23
HSC-500-3,1833,0.7,3.21,273,5.55
HSC-550-1,1099,0.51,2.53,273,6.06
HSC-550-2,1821,0.74,2.75,273,5.71
HSC-550-3,2185,0.76,2.97,273,5.52
HSC-600-1,1343,0.66,1.98,273,6.16
HSC-600-2,2318,0.86,2.14,273,5.91
HSC-600-3,2321,0.84,2.3,273,5.53
LSC-400-1,848,0.38,3.77,273,4.26
LSC-400-2,1164,0.53,4.01,273,4.86
LSC-400-3,1087,0.42,4.5,273,3.96
LSC-450-1,1105,0.46,3.21,273,4.54
LSC-450-2,2053,0.7,3.64,273,5.62
LSC-450-3,1921,0.68,4.03,273,5
LSC-500-1,1113,0.53,2.61,273,5.45
LSC-500-2,2264,0.75,3.08,273,4.59
LSC-500-3,1824,0.61,3.45,273,4.35
R,536,0.32,1.05,273,3.71
RN-400-1,735,0.44,2.72,273,4.8
RN-400-2,936,0.5,4.56,273,5.44
RN-400-3,1115,0.48,5.36,273,5.24
RN-400-4,1003,0.45,6.05,273,4.83
RN-450-1,787,0.47,1.56,273,4.91
RN-450-2,1088,0.57,3.9,273,5.75
RN-450-3,1432,0.74,4.25,273,6.68
RN-450-4,1569,0.69,5.94,273,6.21
RN-500-1,932,0.53,1.39,273,5.45
RN-500-2,1288,0.72,3.85,273,6.65
RN-500-3,1924,0.94,4.09,273,7.13
RN-500-4,2155,0.86,5.74,273,6.41
RK-450-3,704,0.4,1.07,273,4.62
GN,5,0.14,17.14,273,1.01
GN-600-1,821,0.46,12.17,273,5.33
GN-600-2,1267,0.6,11.93,273,6.23
GN-600-3,1398,0.65,11.67,273,6.11
GN-600-4,1412,0.64,11.23,273,5.9
GN-650-1,1734,0.77,9.24,273,6.7
GN-650-2,1960,0.78,8.56,273,6.14
GN-650-3,2167,0.85,7.23,273,6.28
GN-650-4,2016,0.81,6.85,273,6.11
GN-700-1,2394,0.87,6.94,273,6.46
GN-700-2,2659,0.94,6.72,273,5.73
GN-700-3,2655,0.89,6.43,273,5.36
GN-700-4,2470,0.88,6.2,273,5.24
R,536,0.32,1.05,273,3.71
RUK-600-2,1040,0.64,2.33,273,6.09
RUK-600-3,1404,0.78,2.13,273,6.95
RUK-600-4,1621,0.82,1.95,273,6.86
RUK-650-2,1556,0.94,1.88,273,7.13
RUK-650-3,1844,0.82,1.56,273,6.68
RUK-650-4,1955,0.97,1.38,273,7.01
RUK-700-2,1914,0.89,1.62,273,6.28
RUK-700-3,2172,0.95,1.45,273,6.28
RUK-700-4,2015,0.84,1.26,273,5.32
RK-600-3,984,0.53,1.01,273,5.94
C,21,0.17,0.26,273,2
CN-600-2,947,0.48,2.76,273,4.87
CN-600-3,1082,0.49,2.74,273,5.12
CN-600-4,1324,0.59,1.52,273,5.08
CN-700-2,1199,0.56,1.42,273,4.62
CN-700-3,1354,0.63,1.34,273,4.59
CN-800-2,1329,0.62,1.13,273,4.49
CN-800-3,1430,0.66,0.86,273,4.51
C-600-3,329,0.26,0.23,273,3.33
CK-600-3,1383,0.65,1.08,273,6
UC-600-2,1239,0.55,1.98,273,5.69
UC-600-3,1500,0.65,0.86,273,6.3
UC-600-4,1636,0.71,0.28,273,5.58
UC-650-2,1394,0.65,1.64,273,6.27
UC-650-3,1755,0.75,0.81,273,6.75
UC-650-4,1900,0.82,0.58,273,6.72
UC-700-2,1734,0.72,1.26,273,5.93
UC-700-3,2232,0.89,0.64,273,6.36
UC-700-4,2299,1.01,0.29,273,6.1
C-650-2,1088,0.52,0.17,273,4.65
PC-700,1454,0.23,1.71,273,5.73
NPC-500,1114,0.24,3.8,273,5.44
NPC-600,1311,0.28,3.73,273,6.84
NPC-700,1501,0.3,2.43,273,6.98
NPC-800,1734,0.22,2.03,273,5.53
N-AC-500-2,1152,0.46,9.1,273,5.87
N-AC-600-1,1173.8,0.42,7.2,273,5.68
N-AC-600-2,1504.8,0.61,7.7,273,7.1
N-AC-600-3,1684.4,0.58,7.4,273,7.18
N-AC-700-2,1702.2,0.59,5.6,273,6.81
PFK-650-1,605,0.36,14.36,273,4.18
PFK-650-1.5,759,0.43,11.98,273,4.64
PFK-650-2,989,0.44,9.43,273,4.58
PFK-700-1,1294,0.57,12.17,273,5.36
PFK-700-1.5,1757,0.74,7.68,273,6.16
PFK-700-2,2106,0.79,3.91,273,5.38
PFK-750-1,2032,0.81,7.31,273,6.09
PFK-750-1.5,2292,0.89,4.01,273,5.36
PFK-750-2,2330,0.88,2.92,273,5.4
LC,3.82,0.13,1.55,273,1.16
LCM-500-1,687,0.33,7.69,273,4.04
LCM-500-2,1392,0.58,5.53,273,5.22
LCM-500-3,1491,0.63,3.97,273,5.14
LCM-550-1,1122,0.48,6.83,273,4.78
LCM-550-2,1487,0.61,4.09,273,5.44
LCM-550-3,2074,0.79,3.01,273,5.89
LCM-600-1,1272,0.57,4.97,273,5.05
LCM-600-2,2182,0.78,3.67,273,5.04
LCM-600-3,2340,0.81,2.54,273,5.36
LCM-650-1,1500,0.61,3.21,273,4.75
LCM-650-2,1860,0.65,2.29,273,4.24
LCM-650-3,2124,0.69,1.26,273,4.05
SC,17,0.17,3.38,273,0.85
SC-600-2,935,0.46,3.68,273,5.27
SC-600-4,1441,0.55,5.16,273,5.75
SC-650-2,1117,0.63,5.38,273,6.36
SC-650-4,1482,0.73,5.06,273,5.62
SC-700-2,1408,0.67,3.81,273,5.57
SC-700-4,1577,0.74,2.6,273,5.5
C,21,0.17,0.26,273,2
HC,38,0.17,0.34,273,2.05
NC,13,0.19,14.43,273,2.26
NHC,14,0.17,15.48,273,2.12
NHC-600-1,1037,0.52,8,273,5.15
NHC-600-2,1187,0.6,6.42,273,5.73
NHC-600-3,1970,0.83,4.21,273,6.32
NHC-600-4,2339,0.8,3.26,273,5.93
NHC-650-1,1593,0.77,5.72,273,6.53
NHC-650-2,1694,0.77,4.64,273,6.28
NHC-650-3,1952,0.85,3.42,273,6.4
NHC-650-4,2492,0.87,2.01,273,6
NHC-700-1,2234,0.94,3.55,273,6.79
NHC-700-2,2241,0.99,2.15,273,6.67
NHC-700-3,2782,1.04,1.96,273,6.54
NHC-700-4,2995,0.94,1.83,273,5.68
NC-650-1,1483,0.61,4.56,273,6.15
P,0.43,0.12,0.2,273,0.55
NP,2.37,0.09,9.16,273,0.77
HNP,0.13,0.11,11.08,273,1.06
HNP-600-2,1479,0.61,3.25,273,5.05
HNP-600-3,1699,0.72,2.68,273,5.89
HNP-600-4,1888,0.76,1.7,273,5.35
HNP-650-2,1394,0.71,2.79,273,5.87
HNP-650-3,2363,0.88,1.61,273,6.24
HNP-650-4,2526,0.84,1.41,273,5.24
HNP-700-2,1703,0.74,2.18,273,5.91
HNP-700-3,2423,0.92,1.34,273,6.24
HNP-700-4,2532,0.59,1.2,273,5.38
NP-650-3,1755,0.75,0.81,273,6.75
P,0.43,0.12,0.2,273,0.55
PN,0.5,0.17,8.34,273,1.18
PN-600-2,1104,0.6,3.64,273,5.8
PN-600-3,1363,0.72,2.74,273,6.08
PN-600-4,1428,0.69,1.65,273,5.89
PN-650-2,1445,0.74,2.72,273,6.41
PN-650-3,1779,0.83,1.87,273,6.6
PN-650-4,1897,0.85,1.28,273,6.62
PN-700-2,1539,0.72,1.59,273,6.05
PN-700-3,2269,0.95,1.22,273,6.38
PN-700-4,2329,0.95,1.01,273,6.21
P-650-2,1108,0.52,0.17,273,4.65
LSM,6,0.11,10.29,273,1.75
LSM-500-1,673,0.35,7.13,273,4.21
LSM-500-2,776,0.4,5.87,273,4.59
LSM-500-3,1368,0.6,3.78,273,5.75
LSM-550-1,1207,0.48,4.02,273,4.77
LSM-550-2,1941,0.86,3.65,273,6.59
LSM-550-3,2131,0.84,3.25,273,6.12
LSM-600-1,1239,0.57,3.21,273,4.34
LSM-600-2,2077,0.85,2.48,273,6.07
LSM-600-3,2534,0.91,1.55,273,5.38
AC,70,0.0422,0.92,273,1.47
NAC-400-1.5,419,0.0724,3.79,273,2.6
NAC-450-1.5,589,0.1032,7.24,273,4.17
NAC-500-1.5,802,0.0976,1.52,273,3.88
NAC-400-2.5,516,0.0732,3.52,273,2.67
NAC-450-2.5,1687,0.1069,1.89,273,5.22
NAC-500-2.5,1721,0.0615,2.54,273,3.17
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,