sample,SA,MV,N,T,CO2ad
U/PC-0.5,2067,0.71,0.63,298,4.25
U/PC-1,1703,0.57,0.81,298,3.64
U/PC-2,775,0.25,1.37,298,2.72
U/PC-3,404,0.12,3.21,298,2
T-GU-700-4,731,0.29,4.42,298,1.04
T-GU-700-6,1032,0.61,2.59,298,2.4
T-GU-700-8,1264,0.67,2.03,298,1.6
T-GU-750-6,1089,0.71,1.94,298,1.64
T-G-700-6,1296,0.75,0.86,298,1.97
GU-700-6,360,0.15,1.32,298,0.95
PC-550-1,855,0.31,13.05,298,3.33
PC-550-2,1338,0.49,11.32,298,3.57
PC-550-3,1655,0.63,9.84,298,3.77
PC-600-1,1980,0.76,7.38,298,3.95
PC-600-2,2362,1.02,6.21,298,3.74
PC-600-3,2430,1.16,5.36,298,3.51
PC-650-1,2406,1.08,3.89,298,3.54
PC-650-2,2672,1.31,3.04,298,3.16
PC-650-3,2644,1.32,2.65,298,3.15
PC-700-1,2112,0.92,2.83,298,3.02
PC-700-2,2747,1.19,2.36,298,3.46
PC-700-3,2436,1.15,1.84,298,3.23
R,536,0.2,1.05,298,2.82
RNK-550-1,1097,0.4,1.77,298,4.55
RNK-550-2,1482,0.56,1.41,298,5.01
RNK-550-3,2023,0.75,1.32,298,4.82
RNK-600-1,1310,0.49,1.54,298,4.77
RNK-600-2,1802,0.7,1.36,298,4.54
RNK-600-3,2200,0.83,1.29,298,4.4
RNK-650-1,1450,0.55,1.37,298,4.3
RNK-650-2,1875,0.81,1.29,298,4.11
RNK-650-3,2374,0.93,1.2,298,3.92
RUK-550-2,1099,0.44,2.74,298,3.81
CS-650-1/2,1023,0.39,6.75,298,4.15
CS-650-2/3,904,0.34,6.28,298,3.56
CS-650-1/1,1028,0.39,5.98,298,3.85
CS-700-1/2,1428,0.55,4.32,298,4.08
CS-700-2/3,1506,0.58,3.49,298,4.4
CS-700-1/1,1548,0.62,3.07,298,4.06
CS-750-1/2,1811,0.75,2.26,298,4.04
CS-750-2/3,1771,0.72,2.01,298,4.21
CS-750-1/1,1854,0.79,1.72,298,3.8
GMC-Md/g-40-800,784,0.01,15.7,298,2.79
GMC-Md/g-20-800,692,0.01,15.1,298,2.31
GMC-Mm/g-40-800,501,0.02,21.8,298,1.43
GMC-Mm/g-40-700,404,0.02,22.3,298,2.67
UC-5-2-600,851,0.398,0.825,298,4.52
UC-10-2-600,927,0.429,1.76,298,4.6
UC-15-1-600,380,0.175,3.34,298,3.52
UC-15-2-500,568,0.26,2.75,298,3.59
UC-15-2-600,1113,0.508,1.98,298,4.8
UC-15-2-700,1269,0.551,1.08,298,4.72
UC-15-2-800,1381,0.581,0.58,298,4.32
UC-15-3-600,1651,0.655,0.59,298,4.27
UC-15-4-600,1947,0.696,0.6,298,3.88
UC-20-2-600,1024,0.47,1.977,298,4.76
UC-25-2-600,945,0.434,1.99,298,4.71
WSC-400-1,669,0.25,3.05,298,3.29
WSC-400-2,1450,0.52,3.26,298,3.63
WSC-400-3,1310,0.53,3.58,298,3.18
WSC-450-1,1036,0.39,2.73,298,4.06
WSC-450-2,2412,1.02,3.14,298,4.04
WSC-450-3,2596,1.23,3.35,298,3.59
WSC-500-1,1416,0.53,2.42,298,4.5
WSC-500-2,2615,1.21,2.68,298,3.6
WSC-500-3,2446,1.36,3.12,298,3.39
PAN-CNFs,25,0.008,12.52,298,1.98
1.2PAN/0.6PVP-CNFs,309,0.1,10.95,298,2.09
1.0PAN/0.8PVP-CNFs,349,0.11,10.55,298,2.3
0.8PAN/1.0PVP-CNFs,410,0.15,10.32,298,2.5
1.2PAN/0.6PEG-CNFs,484,0.16,9.71,298,2.2
CEM700,2878,0.77,3.7,298,3.86
CEM750,3360,1.24,5.2,298,4.38
CEM800,2762,0.99,7.6,298,3.18
RFC,724,0.31,1.61,298,2.82
RFC_C45,1611,0.83,1.55,298,4.41
RFC_C120,2842,1.26,1.34,298,3.32
RFC_N10,1458,0.76,2.83,298,4.54
PFC,743,0.38,1.46,298,3.18
PFC_C45,1588,0.81,1.29,298,4.27
PFC_C120,3283,1.45,0.81,298,3.32
MPA-1,30,0.00003,42.4,298,1.38
MPA-1-600,188.4,0.0041,29.7,298,1.77
MPA-1-700,225.8,0.0042,21,298,2.5
MPA-2,33.5,0.0003,30.1,298,0.71
MPA-2-600,99.7,0.0018,29.1,298,1.71
MPA-2-700,403.9,0.002,26.2,298,3.25
AC,2095,0.0278,0.1,298,1.93
MNSC,32,0.01,0.89,298,1.57
MNSM-650-1,959,0.37,5.71,298,3.76
MNSM-650-2,1073,0.39,4.56,298,3.98
MNSM-650-3,1177,0.39,3.13,298,4.26
MNSM-700-1,1230,0.47,3.57,298,4.12
MNSM-700-2,1604,0.61,2.62,298,4.35
MNSM-700-3,1517,0.57,2.34,298,4.17
MNSM-750-1,1609,0.58,3.01,298,4.09
MNSM-750-2,1731,0.65,2.01,298,4.07
MNSM-750-3,1730,0.67,1.6,298,3.99
A-NCs-600,1529,0.73,5.38,298,2
A-NCs-700,2209,0.9,4.54,298,3.1
A-NCs-800,3260,1.3,2.71,298,4.3
A-NCs-900,2734,1.1,1.47,298,3.6
GA-550,778,0.3,5.5,298,3.4
GA-600,962,0.36,5.3,298,4.5
GA-650,1229,0.43,3.3,298,3.7
GA-700,1513,0.5,3.1,298,3.4
N1N40X50,533,0.18,6,298,1.99
N2.3N360F30,700,0.21,4.3,298,2.14
N0.8A80F50,747,0.23,4.8,298,2.27
N2.38A360F30,355,0.11,3.4,298,2.02
MFC-600-0.1,278,0.09,16.07,298,2.02
MFC-600-0.2,895,0.35,14.51,298,2.74
MFC-650-0.1,435,0.16,15.23,298,2.06
MFC-650-0.2,1070,0.44,13.97,298,2.86
MFC-700-0.1,768,0.29,14.72,298,2.88
MFC-700-0.2,1658,0.66,13.38,298,3.3
MFC-750-0.1,554,0.21,11.64,298,2.54
MFC-750-0.2,1373,0.6,9.67,298,2.47
MFRC-550-1,546,0.22,18.34,298,2.61
MFRC-550-2,746,0.29,13.03,298,2.67
MFRC-550-3,617,0.24,10.34,298,2.58
MFRC-600-1,596,0.24,14.02,298,2.86
MFRC-600-2,694,0.31,10.07,298,2.64
MFRC-600-3,743,0.31,8.16,298,2.54
MFRC-650-1,1591,0.79,10.14,298,3.52
MFRC-650-2,1525,0.82,7.53,298,3.1
MFRC-650-3,1476,0.78,6.43,298,2.9
C,21,0.01,0.26,298,1.5
NC-600-2,1023,0.38,1.35,298,4.1
NC-600-3,1383,0.52,1.08,298,4
NC-600-4,1604,0.6,0.81,298,4.3
NC-650-2,1178,0.45,1.23,298,4.1
NC-650-3,1535,0.56,0.91,298,4.8
NC-650-4,1687,0.63,0.7,298,4.3
NC-700-2,1550,0.57,0.86,298,4.1
NC-700-3,1596,0.6,0.73,298,4.7
NC-700-4,1937,0.72,0.61,298,4.4
C-650-3,1513,0.57,0.23,298,3.7
C-650-3-N,1012,0.38,8.01,298,3
UFC-550-2,760,0.28,17.25,298,3.04
UFC-550-3,873,0.33,15.08,298,3.4
UFC-550-4,649,0.24,12.04,298,2.79
UFC-600-2,1254,0.51,11.74,298,3.23
UFC-600-3,1686,0.65,9.87,298,3.53
UFC-600-4,1246,0.48,8.86,298,3.21
UFC-650-2,2244,1.12,8.47,298,3.09
UFC-650-3,2023,0.98,7.51,298,2.83
UFC-650-4,1651,0.76,6.32,298,2.82
UFK-550-0.2,474,0.17,22.42,298,2.31
UFK-550-0.3,688,0.26,20.34,298,2.64
UFK-600-0.1,388,0.14,21.32,298,2.31
UFK-600-0.2,865,0.33,19.69,298,2.82
UFK-600-0.3,895,0.32,18.32,298,2.78
UFK-650-0.1,662,0.25,19.34,298,2.7
UFK-650-0.2,980,0.41,18.2,298,2.67
UFK-650-0.3,950,0.37,16.85,298,2.71
LC-450-1,792,0.29,3.53,298,3.24
LC-450-2,1651,0.67,3.85,298,3.33
LC-450-3,1557,0.54,4.27,298,2.67
LC-500-1,833,0.31,3.24,298,3.38
LC-500-2,1924,0.79,3.64,298,3.22
LC-500-3,1667,0.72,4.04,298,3.04
LC-550-1,1087,0.45,2.55,298,3.5
LC-550-2,1883,0.9,3.04,298,2.21
LC-550-3,1311,0.56,3.65,298,2.44
NGC,65,0.02,20.66,298,1.82
NGC-600-2,933,0.36,12.27,298,3.43
NGC-600-3,1005,0.39,12.21,298,3.46
NGC-600-4,1170,0.46,11.81,298,3.74
NGC-650-2,1754,0.68,10.51,298,3.69
NGC-650-3,1699,0.65,9.54,298,3.65
NGC-650-4,1824,0.69,7.74,298,3.92
NGC-700-2,2572,1.09,6.57,298,3.75
NGC-700-3,2510,1.23,5.03,298,3.56
NGC-700-4,2827,1.23,4.69,298,3.61
GC-650-4,1020,0.38,0.32,298,3.66
HSM-550-1,1118,0.41,4.94,298,3.97
HSM-550-2,1696,0.64,4.32,298,4.23
HSM-550-3,1354,0.51,3.88,298,4.16
HSM-600-1,1523,0.56,3.68,298,3.87
HSM-600-2,2319,0.93,3.27,298,3.67
HSM-600-3,2195,0.88,2.47,298,3.31
HSM-650-1,1661,0.64,2.53,298,3.79
HSM-650-2,2178,0.98,1.89,298,3.35
HSM-650-3,2054,0.88,1.33,298,3.28
EN-400-1,710,0.25,2.71,298,1.93
EN-400-2,1270,0.44,2.8,298,2.73
EN-400-3,1010,0.35,3.01,298,2.7
EN-450-1,1100,0.37,2.27,298,2.96
EN-450-2,1920,0.62,2.62,298,3.14
EN-450-3,1530,0.44,2.96,298,2.69
EN-500-1,770,0.27,1.52,298,2.38
EN-500-2,2270,0.67,1.78,298,2.78
EN-500-3,1290,0.4,1.94,298,2.32
WSM-500-1,759,0.28,8.48,298,3.51
WSM-500-2,1275,0.48,7.26,298,4
WSM-500-3,1601,0.62,4.36,298,4.05
WSM-550-1,1131,0.41,7.15,298,3.97
WSM-550-2,1535,0.58,4.9,298,4.22
WSM-550-3,2129,0.8,4.01,298,4.06
WSM-600-1,1391,0.54,4.63,298,3.64
WSM-600-2,2194,0.92,3.78,298,3.73
WSM-600-3,2384,0.99,2.76,298,3.62
WSM-650-1,1649,0.63,3.81,298,3.86
WSM-650-2,2164,0.96,3.02,298,3.3
WSM-650-3,2171,1.02,2.63,298,3
HSC-500-1,502,0.19,2.74,298,2.24
HSC-500-2,1991,0.76,2.94,298,3.73
HSC-500-3,1833,0.72,3.21,298,3.39
HSC-550-1,1099,0.41,2.53,298,4.32
HSC-550-2,1821,0.71,2.75,298,3.5
HSC-550-3,2185,0.9,2.97,298,3.48
HSC-600-1,1343,0.5,1.98,298,3.94
HSC-600-2,2318,0.95,2.14,298,3.52
HSC-600-3,2321,1.02,2.3,298,3.38
P30,880,0.32,7.36,298,2.94
P50,787,0.3,7.88,298,2.99
P80,891,0.32,8.05,298,2.98
LSC-400-1,848,0.3,3.77,298,3.39
LSC-400-2,1164,0.44,4.01,298,3.67
LSC-400-3,1087,0.43,4.5,298,3.22
LSC-450-1,1105,0.41,3.21,298,3.69
LSC-450-2,2053,0.84,3.64,298,3.47
LSC-450-3,1921,0.9,4.03,298,3.12
LSC-500-1,1113,0.41,2.61,298,3.88
LSC-500-2,2264,1.13,3.08,298,3.51
LSC-500-3,1824,0.88,3.45,298,3.45
R,536,0.2,1.05,298,2.82
RN-400-1,735,0.27,2.72,298,3.32
RN-400-2,936,0.34,4.56,298,4.12
RN-400-3,1115,0.41,5.36,298,4.14
RN-400-4,1003,0.36,6.05,298,3.83
RN-450-1,787,0.29,1.56,298,3.86
RN-450-2,1088,0.41,3.9,298,4.06
RN-450-3,1432,0.53,4.25,298,4.64
RN-450-4,1569,0.57,5.94,298,4.4
RN-500-1,932,0.35,1.39,298,4.03
RN-500-2,1288,0.48,3.85,298,4.61
RN-500-3,1924,0.71,4.09,298,4.57
RN-500-4,2155,0.83,5.74,298,4.38
RK-450-3,704,0.26,1.07,298,3.36
GN-600-1,821,0.29,12.17,298,3.99
GN-600-2,1267,0.5,11.93,298,4.24
GN-600-3,1398,0.51,11.67,298,4.02
GN-600-4,1412,0.51,11.23,298,3.93
GN-650-1,1734,0.62,9.24,298,4.26
GN-650-2,1960,0.74,8.56,298,4.23
GN-650-3,2167,0.82,7.23,298,4.21
GN-650-4,2016,0.78,6.85,298,4.07
GN-700-1,2394,0.93,6.94,298,3.92
GN-700-2,2659,1.16,6.72,298,3.71
GN-700-3,2655,1.21,6.43,298,3.51
GN-700-4,2470,0.88,6.2,298,3.42
LNAC-600,1305,0.626,7.98,298,3.89
LNAC-650,1991,0.931,5.53,298,3.43
LNAC-700,1996,0.929,4.26,298,3.35
LNAC-750,2213,1.001,2.07,298,3.24
LNAC-800,978,0.453,1.48,298,2.82
R,536,0.2,1.05,298,2.82
RUK-600-2,1040,0.4,2.33,298,4.27
RUK-600-3,1404,0.53,2.13,298,4.61
RUK-600-4,1621,0.63,1.95,298,4.58
RUK-650-2,1556,0.59,1.88,298,4.39
RUK-650-3,1844,0.71,1.56,298,4.34
RUK-650-4,1955,0.76,1.38,298,4.32
RUK-700-2,1914,0.78,1.62,298,4.1
RUK-700-3,2172,0.9,1.45,298,3.92
RUK-700-4,2015,0.84,1.26,298,3.3
RK-600-3,984,0.36,1.01,298,3.84
C,21,0.01,0.26,298,1.53
CN-600-2,947,0.34,2.76,298,3.45
CN-600-3,1082,0.39,2.74,298,3.71
CN-600-4,1324,0.5,1.52,298,3.49
CN-700-2,1199,0.46,1.42,298,3.07
CN-700-3,1354,0.53,1.34,298,3.03
CN-800-2,1329,0.53,1.13,298,2.86
CN-800-3,1430,0.58,0.86,298,2.78
C-600-3,329,0.12,0.23,298,2.64
CK-600-3,1383,0.52,1.08,298,4
NPC-1-500,1376,0.565,4.6,298,5
UC-600-2,1239,0.43,1.98,298,3.69
UC-600-3,1500,0.52,0.86,298,4.25
UC-600-4,1636,0.54,0.28,298,3.89
UC-650-2,1394,0.52,1.64,298,4.4
UC-650-3,1755,0.64,0.81,298,4.26
UC-650-4,1900,0.7,0.58,298,4.16
UC-700-2,1734,0.63,1.26,298,4.08
UC-700-3,2232,0.84,0.64,298,4.15
UC-700-4,2299,0.93,0.29,298,3.8
C-650-2,1088,0.46,0.17,298,3.32
AHEP,418,0.21,2.6,298,1.4
SG-CN(1),1000,0.25,2,298,2.34
SG-CN(2),1111,0.33,3.4,298,3.34
SG-CN(3),727,0.18,3.9,298,3.13
PC-700,1454,0.57,1.71,298,3.7
NPC-500,1114,0.4,3.8,298,3.59
NPC-600,1311,0.43,3.73,298,3.98
NPC-700,1501,0.46,2.43,298,4.2
NPC-800,1734,0.66,2.03,298,3.77
N-CP,38.5,0.01,8.9,298,0.34
N-AC-500-2,1152,0.38,9.1,298,3.9
N-AC-600-1,1173.8,0.4,7.2,298,3.71
N-AC-600-2,1504.8,0.51,7.7,298,4.58
N-AC-600-3,1684.4,0.57,7.4,298,4.34
N-AC-700-2,1702.2,0.58,5.6,298,4.14
SU-MAC-500,941,0.34,5.8,298,4.5
SU-MAC-600,1500,0.5,4,298,4.18
SU-MAC-800,2369,0.63,3.2,298,3.11
BILP-5,626,0.17,12.64,298,2
CPC-550,1630,0.59,7.88,298,5.8
CPC-600,2059,0.74,6.34,298,4.7
CPC-650,2967,1.06,5.38,298,4
CPC-700,3242,1.13,4.22,298,3.3
CPC-800,2872,0.73,1,298,3.1
PFK-650-1,605,0.23,14.36,298,2.96
PFK-650-1.5,759,0.29,11.98,298,3.28
PFK-650-2,989,0.36,9.43,298,3.25
PFK-700-1,1294,0.49,12.17,298,3.64
PFK-700-1.5,1757,0.67,7.68,298,4.03
PFK-700-2,2106,0.91,3.91,298,3.49
PFK-750-1,2032,0.87,7.31,298,3.74
PFK-750-1.5,2292,1.07,4.01,298,3.1
PFK-750-2,2330,1.01,2.92,298,3.08
LCM-500-1,687,0.24,7.69,298,3.21
LCM-500-2,1392,0.53,5.53,298,3.66
LCM-500-3,1491,0.56,3.97,298,3.49
LCM-550-1,1122,0.41,6.83,298,3.5
LCM-550-2,1487,0.54,4.09,298,3.87
LCM-550-3,2074,0.85,3.01,298,3.67
LCM-600-1,1272,0.51,4.97,298,3.5
LCM-600-2,2182,0.94,3.67,298,3.2
LCM-600-3,2340,1.16,2.54,298,2.94
LCM-650-1,1500,0.58,3.21,298,3.08
LCM-650-2,1860,0.75,2.29,298,2.76
LCM-650-3,2124,1.24,1.26,298,2.53
NPC-500,537,0.27,5.84,298,3.7
NPC-600,958,0.46,3.57,298,3.9
SC-600-2,935,0.34,3.68,298,3.63
SC-600-4,1441,0.5,5.16,298,4.04
SC-650-2,1117,0.39,5.38,298,4.49
SC-650-4,1482,0.52,5.06,298,3.87
SC-700-2,1408,0.57,3.81,298,3.73
SC-700-4,1577,0.48,2.6,298,3.99
NHC-600-1,1037,0.42,8,298,4.06
NHC-600-2,1187,0.47,6.42,298,3.95
NHC-600-3,1970,0.77,4.21,298,4.13
NHC-600-4,2339,1,3.26,298,3.6
NHC-650-1,1593,0.57,5.72,298,4.47
NHC-650-2,1694,0.63,4.64,298,4.37
NHC-650-3,1952,0.77,3.42,298,4.23
NHC-650-4,2492,1.12,2.01,298,3.95
NHC-700-1,2234,0.88,3.55,298,4.25
NHC-700-2,2241,0.88,2.15,298,3.98
NHC-700-3,2782,1.14,1.96,298,3.97
NHC-700-4,2995,1.39,1.83,298,3.49
NC-650-1,1483,0.57,4.56,298,4.26
HNP-600-2,1479,0.53,3.25,298,3.56
HNP-600-3,1699,0.66,2.68,298,3.95
HNP-600-4,1888,0.77,1.7,298,3.29
HNP-650-2,1394,0.52,2.79,298,3.98
HNP-650-3,2363,0.96,1.61,298,4.13
HNP-650-4,2526,1.1,1.41,298,3.28
HNP-700-2,1703,0.66,2.18,298,3.82
HNP-700-3,2423,1.05,1.34,298,3.49
HNP-700-4,2532,1.21,1.2,298,3.22
NP-650-3,1755,0.64,0.81,298,4.26
PA-KOH-2-600,1212,0.47,2.62,298,3.45
PA-400-KOH-2-600,1473,0.57,3.81,298,4.28
PA-500-KOH-2-600,1913,0.74,2.32,298,4.02
PA-600-KOH-2-600,1698,0.62,2.56,298,3.52
PA-400-KOH-2-500,1123,0.43,4.01,298,4.12
PA-400-KOH-2-700,1976,0.77,3.11,298,3.93
PA-400-KOH-2-800,2356,0.86,1.5,298,3.3
PA-400-KOH-1-600,837,0.32,4.84,298,3.61
PA-400-KOH-4-600,2571,1.02,2.22,298,3.39
PA-500-KOH-4-800,3322,0.89,1.26,298,2.04
PN-600-2,1104,0.43,3.64,298,3.94
PN-600-3,1363,0.5,2.74,298,4.03
PN-600-4,1428,0.51,1.65,298,3.94
PN-650-2,1445,0.52,2.72,298,4.57
PN-650-3,1779,0.62,1.87,298,4.25
PN-650-4,1897,0.64,1.28,298,4.17
PN-700-2,1539,0.59,1.59,298,4.25
PN-700-3,2269,0.77,1.22,298,3.96
PN-700-4,2329,0.94,1.01,298,3.76
P-650-2,1108,0.46,0.17,298,3.32
CF-1,422,0.116,11.91,298,2.28
ACF-1,536,0.141,11.02,298,2.48
ACF-2,497,0.116,9.83,298,2.34
ACF-3,691,0.178,9.43,298,2.55
ACF-4,675,0.17,9.31,298,2.51
LSM-500-1,673,0.25,7.13,298,3.34
LSM-500-2,776,0.28,5.87,298,3.57
LSM-500-3,1368,0.51,3.78,298,3.93
LSM-550-1,1207,0.45,4.02,298,3.27
LSM-550-2,1941,0.71,3.65,298,4.25
LSM-550-3,2131,0.78,3.25,298,4.06
LSM-600-1,1239,0.49,3.21,298,3.02
LSM-600-2,2077,0.79,2.48,298,3.46
LSM-600-3,2534,1.06,1.55,298,3.23
AC-CC-P-600,1220,0.25,1.5,298,4.02
AC-CC-P-700,1338,0.31,1.2,298,4.93
AC-CC-P-800,1546,0.37,1,298,5.59
AC-CC-C-800,1678,0.41,0.8,298,7.46
C0600,828,0.3,8.47,298,3.58
C2600,963,0.34,10.77,298,3.8
C0700,2217,0.79,4.81,298,4.1
C2700,2408,1.11,7.35,298,3.87
C0800,2399,1.06,1.77,298,3.85
C2800,2658,1.29,2.89,298,3.55
MNC-2-600,1212,0.41,5.48,298,3.46
MNC-3-600,984,0.324,7.93,298,3.23
MNC-2-700,2039,0.734,4.47,298,3.79
MNC-3-700,1738,0.6,6.66,298,3.66
MNC-2-800,2423,0.83,1.49,298,3.54
MNC-3-800,1888,0.62,5.84,298,3.16
NDHPC-0U-700,1560,0.512,4.51,298,3.72
NDHPC-1U-700,1747,0.576,5.24,298,3.62
NDHPC-2U-700,1705,0.565,5.39,298,3.41
NDHPC-3U-700,1872,0.556,6.31,298,3.41
NDHPC-0U-800,1859,0.626,1.48,298,3.88
NDHPC-1U-800,1851,0.637,1.49,298,3.85
NDHPC-2U-800,2395,0.663,1.98,298,3.37
NDHPC-3U-800,2545,0.575,2.25,298,2.97
AC,70,0.02,0.92,298,0.54
NAC-400-1.5,419,0.19,3.79,298,1.93
NAC-450-1.5,589,0.27,7.24,298,2.53
NAC-500-1.5,802,0.37,1.52,298,1.96
NAC-400-2.5,516,0.2,3.52,298,1.7
NAC-450-2.5,1687,0.77,1.89,298,3.06
NAC-500-2.5,1721,0.75,2.54,298,2.15
PDVV-C-600,555.73,0.2464,1.1,298,2.11
PDVA-C-600,655.78,0.3978,2.01,298,2.77
PDVA-C-700,782.13,0.3563,1.88,298,2.85
PDVA-C-800,874.35,0.4,1.33,298,3.18
PDVA-C-900,455.45,0.2313,1.08,298,2.08
PCF-400,383,0.146,23.69,298,1.57
PCF-450,398,0.153,22.82,298,2.16
PCF-500,486,0.18,20.86,298,2.25
PCF-N,49,0.008,20.38,298,0.66
ASPC5-2,3007,0.69,0.27,298,3.16
ASPC5-3,3166,0.49,0.28,298,2.39