sample,SA,N6,temp,CO2ad
U/PC-0.5,2067,0.09,298,4.25
U/PC-1,1703,0.17,298,3.64
U/PC-2,775,0.24,298,2.72
U/PC-3,404,0.88,298,2
PC-550-3,1655,3.92,298,3.77
PC-600-1,1980,2.77,298,3.95
PC-600-2,2362,2.31,298,3.74
CS-650-2/3,904,2.1,298,3.56
CS-700-2/3,1506,1.19,298,4.4
CS-750-2/3,1771,0.78,298,4.21
RFC,724,0.48,298,2.82
RFC_C45,1611,0.35,298,4.41
RFC_N10,1458,0.67,298,4.54
MNSM,6,8.53,298,1.09
MNSM-650-2,1073,1.33,298,3.98
MNSM-650-3,1177,1.02,298,4.26
MNSM-700-2,1604,0.9,298,4.35
MNSM-750-2,1731,0.68,298,4.07
N1N40X50,533,2.84,298,1.99
N2.3N360F30,700,2.9,298,2.14
N0.8A80F50,747,2.43,298,2.27
N2.38A360F30,355,3.17,298,2.02
MFC-700-0.1,768,5.89,298,2.88
MFC-700-0.2,1658,5.44,298,3.3
MFC-750-0.2,1373,4.18,298,2.47
MFRC-600-1,596,5.01,298,2.86
MFRC-650-1,1591,3.69,298,3.52
MFRC-650-2,1525,1.54,298,3.1
NC-600-4,1604,0.29,298,4.3
NC-650-3,1535,0.3,298,4.8
NC-700-3,1596,0.26,298,4.7
NC-700-4,1937,0.32,298,4.4
UFC,0.39,12.37,298,0.71
UFC-550-2,760,6.74,298,3.04
UFC-600-3,1686,3.04,298,3.53
UFC-650-4,1651,1.87,298,2.82
UFK-600-0.2,865,8.47,298,2.82
UFK-600-0.3,895,7.72,298,2.78
UFK-650-0.3,950,7.16,298,2.71
EN-400-2,1270,0.55,298,2.73
EN-450-2,1920,0.53,298,3.14
EN-500-2,2270,0.43,298,2.78
WSM,5,12.19,298,1.02
WSM-550-1,1131,2.43,298,3.97
WSM-550-2,1535,1.66,298,4.22
WSM-550-3,2129,1.35,298,4.06
LNAC-600,1305,1.3,298,3.89
LNAC-650,1991,0.93,298,3.43
LNAC-700,1996,0.79,298,3.35
LNAC-750,2213,0.33,298,3.24
LNAC-800,978,0.46,298,2.82
N-AC-500-2,1152,3.37,298,3.9
N-AC-600-1,1173.8,2.6,298,3.71
N-AC-600-2,1504.8,3.13,298,4.58
N-AC-600-3,1684.4,2.17,298,4.34
N-AC-700-2,1702.2,1.52,298,4.14
SU-MAC-500,941,0.76,298,4.5
SU-MAC-600,1500,0.31,298,4.18
SU-MAC-800,2369,0.54,298,3.11
PFK-650-1.5,759,5.33,298,3.28
PFK-700-1.5,1757,2.75,298,4.03
PFK-750-1,2032,2.78,298,3.74
PFK-750-1.5,2292,1.23,298,3.1
HNP-600-2,1479,1.22,298,3.56
HNP-650-3,2363,0.81,298,4.13
HNP-700-2,1703,0.93,298,3.82
HNP-700-4,2532,0.62,298,3.22
NP-650-3,1755,0.25,298,4.26
CF-1,422,5.12,298,2.28
ACF-1,536,5.27,298,2.48
ACF-2,497,4.12,298,2.34
ACF-3,691,2.82,298,2.55
ACF-4,675,2.38,298,2.51
PAN-CNFs,25,4.9,298,1.98
0.8PAN/1.0PVP-CNFs,410,3.54,298,2.5
1.2PAN/0.6PEG-CNFs,484,2.96,298,2.2
A-NCs-600,1529,2,298,2
A-NCs-700,2209,1.63,298,3.1
A-NCs-800,3260,0.93,298,4.3
A-NCs-900,2734,0.49,298,3.6
PCF-400,383,9.33,298,1.57
PCF-450,398,8.58,298,2.16
PCF-500,486,4.47,298,2.25
PCF-N,49,1.61,298,0.66